id,p_x,p_y,p_z,o_x,o_y,o_z,o_w
0,-0.2,0.1,0.25,0.7071067811865475,0.0,0.0,0.7071067811865476
1,-0.20001096352580838,0.08750175813064534,0.2499975477937279,0.7155319643361281,-0.0063044218750355555,-0.020368320416021025,0.6982545336777511
2,-0.20048686872622656,0.07500346229951187,0.24968917063915919,-0.7157128031612466,0.006512198032515532,0.02062476677333725,-0.6980597350251633
3,-0.20137320790752766,0.06255626775583138,0.24905916482838972,0.7341867170130056,-0.011999313677753348,-0.05358153883025864,0.6767236509310941
4,-0.20255959076133878,0.050143695146650645,0.24807273892890513,0.7343902047685649,-0.0121197278949439,-0.053749454862263214,0.6764873505378702
5,-0.20399264923939167,0.03780729707013633,0.2467194247968861,0.7547851457255088,-0.008110846635085236,-0.07608723859917475,0.6514939217531787
6,-0.20555852126460608,0.025522950339144646,0.24496907368944634,-0.7550049390277851,0.008141650202768882,0.07615439522239881,-0.6512309603081973
7,-0.20720147068577988,0.013327352745020154,0.24281650504164418,-0.7764898616915995,-0.0053886122153034574,0.08718902577286304,-0.6240452958987296
8,-0.208806165122067,0.0011944156415507686,0.24023694226958728,-0.7767156228608885,-0.005444897684421874,0.08714838059637023,-0.6237694718824082
9,-0.21031620945730964,-0.010838245070598173,0.2372316928963418,-0.7980871333053225,-0.028234368847351556,0.08651438165289055,-0.595629926913937
10,-0.21161646438600767,-0.02279302363795886,0.23378305005533778,0.7983050944877866,0.028370443661042386,-0.08636440560558382,0.5953530746420276
11,-0.21265174545229693,-0.034626041677831336,0.22990098717286886,0.8180073928165308,0.059835242660437646,-0.07401259656973594,0.5672792827014521
12,-0.2133094193424904,-0.046351174701342694,0.2255774603765774,-0.8182015958893349,-0.060039342816474814,0.07375732174700116,-0.5670108317193071
13,-0.2135384695426285,-0.057914188831232956,0.22083400082207746,-0.8344020919905948,-0.09921958157977896,0.049994751386453165,-0.5398417808457023
14,-0.2132325139196944,-0.06931729702415748,0.21567524717850262,-0.8345561738816486,-0.0994762296707363,0.04964348098136005,-0.5395887296474714
15,-0.21234930172544791,-0.0804939332294972,0.21013721298678015,-0.845290859724209,-0.1449848004552053,0.015203417918179777,-0.5140346546559648
16,-0.21079411920132343,-0.09143404266134982,0.20423978262291498,0.8453900642069341,0.14527606165360832,-0.014769977289394927,0.5138018616368413
17,-0.20853957244025886,-0.10205966362257925,0.19803535802297834,0.8487818607571213,0.19528273008658764,0.029115687490027135,0.4904959581093315
18,-0.2055091176003737,-0.11235106226565234,0.19156001610301582,0.8488148188172355,0.1955898509428779,0.029614189374936213,0.49028666446485325
19,-0.2016967547971631,-0.12222314523941243,0.18488225631200905,0.8433465031147819,0.2478733276664303,0.0811779431174034,0.4698251064671485
20,-0.1970576016416667,-0.1316445337058972,0.17805577059908562,0.8369735785291267,0.27425426686624294,0.10941484977589294,0.46074745425051056
21,-0.19158268120957161,-0.14056148866689608,0.17114913514024999,-0.8368958895635538,-0.2745521927920768,-0.10997541465481413,-0.4605776499529605
22,-0.1852993887241101,-0.1489001459869313,0.16424463972708533,-0.8167602891318697,-0.3255956334340379,-0.16867992457165884,-0.44546290152201407
23,-0.17819754976048208,-0.15664692152187223,0.15740436568917973,-0.8166085163915527,-0.3258686251673193,-0.16925799411996428,-0.4453222445767047
24,-0.17033944496969072,-0.1637333616227238,0.15071609232909916,0.7870833974485012,0.37303475951501464,0.22933480869743988,0.4344540702700442
25,-0.1617403442235005,-0.1701630196207811,0.14423959176506285,-0.7868629858593627,-0.37327069467186397,-0.2299119853698302,-0.43434561004685623
26,-0.15248476790345325,-0.17588780166626378,0.13805644536485193,0.7493712982531736,0.41450575289185104,0.28856894818274154,0.4282004207361536
27,-0.1426060562998214,-0.18093395261122008,0.13221582901326148,0.7490926517064865,0.414694814067755,0.2891274755099046,0.4281281504992682
28,-0.13220193493921303,-0.185277389235674,0.12678563497628745,-0.7058665631292708,-0.44852275325086627,-0.34378005545455403,-0.42707728614853463
29,-0.12131371380500654,-0.18896864313380846,0.12179818832704194,0.7055452147031902,0.44865737263950123,0.3443027325636346,0.4270458293144461
30,-0.11004182900555909,-0.19200721091571252,0.11730299192986259,-0.6593527342334926,-0.47429082402952744,-0.3927710083139812,-0.4313155702362574
31,-0.0984253488785362,-0.19446565136259578,0.11331254091690009,-0.6590091095681552,-0.4743660244686921,-0.39324145148274364,-0.43132937434366836
32,-0.08655810567410054,-0.19636328256068114,0.10985670038045608,0.6128232829226823,0.4916962279247148,0.43385367928481006,0.4409687384877822
33,-0.07446900541787765,-0.1977898473244507,0.10692848402263919,0.6124815606757539,0.4917101650866063,0.4342570009009726,0.4410309609893482
34,-0.062239097149032495,-0.19877900163110035,0.10453981701340488,-0.56916984389387,-0.5011944949325835,-0.4658497506703077,-0.4558878994352804
35,-0.0498828746964646,-0.19943197263544857,0.10266695687618121,0.5688558426796918,0.5011487686595801,0.46617338443214495,0.45599925171785544
36,-0.03746632215233564,-0.1997912018862984,0.10130728695338295,0.530944498734419,0.503639064317144,0.4880104143261786,0.47570102760725663
37,-0.024989121235432465,-0.19996427098470435,0.10042403062566194,-0.5306830056978725,-0.5035384834804464,-0.4882447468030032,-0.475858813448858
38,-0.012503494011789979,-0.1999978726104296,0.10000376280529301,0.5002153233702867,0.5000982008692699,0.499895609171006,0.49979075590133476
39,0.0,-0.2,0.1,0.5,0.4999999999999999,0.5,0.5000000000000001
